flight_number,origin,destination,flight_type
AC 3710,,,International
AC 3710,,,International
AC 3714,,,International
AC 3714,,,International
AC 3716,,,International
AC 3716,,,International
AC 3718,,,International
AC 3761,,,International
AC 3761,,,International
AC 3769,,,International
AC 3769,,,International
AC 3859,,,International
AC 3859,,,International
AC 3905,,,International
AC 3905,,,International
AC 3907,,,International
AC 3907,,,International
AC 3913,,,International
AC 3913,,,International
AC 4051,,,International
AC 4051,,,International
AC 5082,,,International
AC 5082,,,International
AC 5157,,,International
AC 5157,,,International
AC 5216,,,International
AC 5216,,,International
AC 5254,,,International
AC 5345,,,International
AC 5345,,,International
AC 5350,,,International
AC 5351,,,International
AC 5351,,,International
AC 5355,,,International
AC 5355,,,International
AC 5357,,,International
AC 5357,,,International
AC 5364,,,International
AC 5365,,,International
AC 5365,,,International
AC 5368,,,International
AC 5368,,,International
AC 5375,,,International
AC 5376,,,International
AC 5376,,,International
AC 5733,,,International
AC 5733,,,International
AC 5734,,,International
AC 5734,,,International
AC 5746,,,International
AC 5746,,,International
AC 5748,,,International
AC 5748,,,International
AC 5750,,,International
AC 5750,,,International
AC 5875,,,International
AC 5875,,,International
AC 6020,,,International
AC 6020,,,International
AC 6184,,,International
AC 6184,,,International
AC 6187,,,International
AC 6187,,,International
AC 6191,,,International
AC 6191,,,International
AC 6200,,,International
AC 6200,,,International
AC 6201,,,International
AC 6201,,,International
AC 6315,,,International
AC 6315,,,International
AC 6337,,,International
AC 6389,,,International
AC 6389,,,International
AC 6420,,,International
AC 6420,,,International
AC 6425,,,International
AC 6450,,,International
AC 6450,,,International
AC 6451,,,International
AC 6451,,,International
AC 6452,,,International
AC 6454,,,International
AC 6454,,,International
AC 6526,,,International
AC 6526,,,International
AC 6527,,,International
AC 6527,,,International
AC 6528,,,International
AC 6673,,,International
AC 6673,,,International
AC 6674,,,International
AC 6674,,,International
AC 6675,,,International
AC 6675,,,International
AC 6676,,,International
AC 6676,,,International
AC 6677,,,International
AC 6677,,,International
AC 6678,,,International
AC 6678,,,International
AC 6745,,,International
AC 6745,,,International
AC 6746,,,International
AC 6746,,,International
AC 6753,,,International
AC 6753,,,International
AC 6777,,,International
AC 6777,,,International
AC 6828,,,International
AC 6828,,,International
AC 6830,,,International
AC 6830,,,International
AC 6837,,,International
AC 6837,,,International
AC 6838,,,International
AC 6838,,,International
AC 6839,,,International
AC 6839,,,International
AC 6887,,,International
AC 6887,,,International
AC 6888,,,International
AC 6888,,,International
AC 6891,,,International
AC 6891,,,International
AC 6892,,,International
AC 6894,,,International
AC 6894,,,International
AC 6895,,,International
AC 6895,,,International
AC 6896,,,International
AC 6896,,,International
AC 6899,,,International
AC 6899,,,International
AC 6906,,,International
AC 6906,,,International
AC 6908,,,International
AC 6908,,,International
AC 6909,,,International
AC 6909,,,International
AC 6910,,,International
AC 6910,,,International
AC 6913,,,International
AC 6913,,,International
AC 6914,,,International
AC 6914,,,International
AC 6919,,,International
AC 6919,,,International
AC 6921,,,International
AC 6921,,,International
AC 6924,,,International
AC 6924,,,International
AC 6946,,,International
AC 6963,,,International
AC 6963,,,International
AC 6964,,,International
AC 6964,,,International
AC 6965,,,International
AC 6965,,,International
AC 6970,,,International
AC 6970,,,International
AC 6971,,,International
AC 6971,,,International
AC 7400,,,International
AC 7400,,,International
AC 7402,,,International
AC 7402,,,International
AC 7552,,,International
AC 7552,,,International
AC 850,,,International
AC 850,,,International
AC 853,,,International
AC 855,,,International
AC 855,,,International
AC 858,,,International
AC 858,,,International
AC 859,,,International
AC 859,,,International
AC 860,,,International
AC 860,,,International
AC 861,,,International
AC 861,,,International
AC 865,,,International
AC 865,,,International
AC 868,,,International
AC 869,,,International
AC 889,,,International
AC 889,,,International
AD 7173,,,International
AD 7173,,,International
AD 7174,,,International
AD 7174,,,International
